IncidentID,SiteID,IncidentDate,IncidentType,Severity,RootCause
110,219,2025-11-07,Injury,Low,"Perspiciatis tempore ipsum vero minima eaque perspiciatis suscipit."
111,222,2024-08-28,"Near Miss",Critical,"Nihil veniam eius deleniti neque praesentium."
112,225,2024-01-23,Injury,High,"Commodi recusandae necessitatibus recusandae expedita beatae ab unde."
113,225,2025-11-08,"Chemical Spill",Low,"Iure corrupti vitae numquam."
114,231,2024-06-13,"False Alarm",Critical,"Esse enim reiciendis accusamus."
115,236,2025-06-03,"Near Miss",Critical,"Dolor repudiandae commodi."
116,236,2024-01-12,"Chemical Spill",Medium,"Esse inventore optio a dolorum expedita eligendi."
117,237,2024-09-22,"Chemical Spill",Low,"Pariatur quisquam culpa assumenda earum voluptatum deserunt."
118,239,2026-04-28,"Equipment Failure",Medium,"Ullam enim adipisci ut dolorum perspiciatis harum id."
119,241,2024-04-03,Injury,Low,"Tempora ullam nisi cupiditate."
120,241,2024-06-10,"Chemical Spill",Critical,"Perspiciatis eum neque placeat dicta consequatur."
121,248,2025-08-15,Injury,Critical,"Dicta esse error unde itaque delectus quos."
122,248,2025-11-11,Injury,Low,"Atque minima possimus magnam placeat facere."
123,249,2024-08-22,Injury,Low,"Incidunt in illum adipisci nam vero."
124,249,2024-09-21,"False Alarm",Critical,"At consequuntur tenetur ratione neque fuga."
125,250,2024-02-15,Fire,Medium,"Molestiae natus eos quidem hic illo ab rem."
126,250,2024-06-30,Fire,High,"Itaque amet amet rerum officiis ex atque."
